Date	Day Name	Month Name
Friday, January 1, 2021	Friday	January
Friday, January 8, 2021	Friday	January
Friday, January 15, 2021	Friday	January
Friday, January 22, 2021	Friday	January
Friday, January 29, 2021	Friday	January
Friday, February 5, 2021	Friday	February
Friday, February 12, 2021	Friday	February
Friday, February 19, 2021	Friday	February
Friday, February 26, 2021	Friday	February
Friday, March 5, 2021	Friday	March
Friday, March 12, 2021	Friday	March
Friday, March 19, 2021	Friday	March
Friday, March 26, 2021	Friday	March
Friday, April 2, 2021	Friday	April
Friday, April 9, 2021	Friday	April
Friday, April 16, 2021	Friday	April
Friday, April 23, 2021	Friday	April
Friday, April 30, 2021	Friday	April
Friday, May 7, 2021	Friday	May
Friday, May 14, 2021	Friday	May
Friday, May 21, 2021	Friday	May
Friday, May 28, 2021	Friday	May
Friday, June 4, 2021	Friday	June
Friday, June 11, 2021	Friday	June
Friday, June 18, 2021	Friday	June
Friday, June 25, 2021	Friday	June
Friday, July 2, 2021	Friday	July
Friday, July 9, 2021	Friday	July
Friday, July 16, 2021	Friday	July
Friday, July 23, 2021	Friday	July
Friday, July 30, 2021	Friday	July
Friday, August 6, 2021	Friday	August
Friday, August 13, 2021	Friday	August
Friday, August 20, 2021	Friday	August
Friday, August 27, 2021	Friday	August
Friday, September 3, 2021	Friday	September
Friday, September 10, 2021	Friday	September
Friday, September 17, 2021	Friday	September
Friday, September 24, 2021	Friday	September
Friday, October 1, 2021	Friday	October
Friday, October 8, 2021	Friday	October
Friday, October 15, 2021	Friday	October
Friday, October 22, 2021	Friday	October
Friday, October 29, 2021	Friday	October
Friday, November 5, 2021	Friday	November
Friday, November 12, 2021	Friday	November
Friday, November 19, 2021	Friday	November
Friday, November 26, 2021	Friday	November
Friday, December 3, 2021	Friday	December
Friday, December 10, 2021	Friday	December
Friday, December 17, 2021	Friday	December
Friday, December 24, 2021	Friday	December
Friday, December 31, 2021	Friday	December
Friday, January 7, 2022	Friday	January
Friday, January 14, 2022	Friday	January
Friday, January 21, 2022	Friday	January
Friday, January 28, 2022	Friday	January
Friday, February 4, 2022	Friday	February
Friday, February 11, 2022	Friday	February
Friday, February 18, 2022	Friday	February
Friday, February 25, 2022	Friday	February
Friday, March 4, 2022	Friday	March
Friday, March 11, 2022	Friday	March
Friday, March 18, 2022	Friday	March
Friday, March 25, 2022	Friday	March
Friday, April 1, 2022	Friday	April
Friday, April 8, 2022	Friday	April
Friday, April 15, 2022	Friday	April
Friday, April 22, 2022	Friday	April
Friday, April 29, 2022	Friday	April
Friday, May 6, 2022	Friday	May
Friday, May 13, 2022	Friday	May
Friday, May 20, 2022	Friday	May
Friday, May 27, 2022	Friday	May
Friday, June 3, 2022	Friday	June
Friday, June 10, 2022	Friday	June
Friday, June 17, 2022	Friday	June
Friday, June 24, 2022	Friday	June
Friday, July 1, 2022	Friday	July
Friday, July 8, 2022	Friday	July
Friday, July 15, 2022	Friday	July
Friday, July 22, 2022	Friday	July
Friday, July 29, 2022	Friday	July
Friday, August 5, 2022	Friday	August
Friday, August 12, 2022	Friday	August
Friday, August 19, 2022	Friday	August
Friday, August 26, 2022	Friday	August
Friday, September 2, 2022	Friday	September
Friday, September 9, 2022	Friday	September
Friday, September 16, 2022	Friday	September
Friday, September 23, 2022	Friday	September
Friday, September 30, 2022	Friday	September
Friday, October 7, 2022	Friday	October
Friday, October 14, 2022	Friday	October
Friday, October 21, 2022	Friday	October
Friday, October 28, 2022	Friday	October
Friday, November 4, 2022	Friday	November
Friday, November 11, 2022	Friday	November
Friday, November 18, 2022	Friday	November
Friday, November 25, 2022	Friday	November
Friday, December 2, 2022	Friday	December
Friday, December 9, 2022	Friday	December
Friday, December 16, 2022	Friday	December
Friday, December 23, 2022	Friday	December
Friday, December 30, 2022	Friday	December
Friday, January 6, 2023	Friday	January
Friday, January 13, 2023	Friday	January
Friday, January 20, 2023	Friday	January
Friday, January 27, 2023	Friday	January
Friday, February 3, 2023	Friday	February
Friday, February 10, 2023	Friday	February
Friday, February 17, 2023	Friday	February
Friday, February 24, 2023	Friday	February
Friday, March 3, 2023	Friday	March
Friday, March 10, 2023	Friday	March
Friday, March 17, 2023	Friday	March
Friday, March 24, 2023	Friday	March
Friday, March 31, 2023	Friday	March
Friday, April 7, 2023	Friday	April
Friday, April 14, 2023	Friday	April
Friday, April 21, 2023	Friday	April
Friday, April 28, 2023	Friday	April
Friday, May 5, 2023	Friday	May
Friday, May 12, 2023	Friday	May
Friday, May 19, 2023	Friday	May
Friday, May 26, 2023	Friday	May
Friday, June 2, 2023	Friday	June
Friday, June 9, 2023	Friday	June
Friday, June 16, 2023	Friday	June
Friday, June 23, 2023	Friday	June
Friday, June 30, 2023	Friday	June
Friday, July 7, 2023	Friday	July
Friday, July 14, 2023	Friday	July
Friday, July 21, 2023	Friday	July
Friday, July 28, 2023	Friday	July
Friday, August 4, 2023	Friday	August
Friday, August 11, 2023	Friday	August
Friday, August 18, 2023	Friday	August
Friday, August 25, 2023	Friday	August
Friday, September 1, 2023	Friday	September
Friday, September 8, 2023	Friday	September
Friday, September 15, 2023	Friday	September
Friday, September 22, 2023	Friday	September
Friday, September 29, 2023	Friday	September
Friday, October 6, 2023	Friday	October
Friday, October 13, 2023	Friday	October
Friday, October 20, 2023	Friday	October
Friday, October 27, 2023	Friday	October
Friday, November 3, 2023	Friday	November
Friday, November 10, 2023	Friday	November
Friday, November 17, 2023	Friday	November
Friday, November 24, 2023	Friday	November
Friday, December 1, 2023	Friday	December
Friday, December 8, 2023	Friday	December
Friday, December 15, 2023	Friday	December
Friday, December 22, 2023	Friday	December
Friday, December 29, 2023	Friday	December
Friday, January 5, 2024	Friday	January
Friday, January 12, 2024	Friday	January
Friday, January 19, 2024	Friday	January
Friday, January 26, 2024	Friday	January
Friday, February 2, 2024	Friday	February
Friday, February 9, 2024	Friday	February
Friday, February 16, 2024	Friday	February
Friday, February 23, 2024	Friday	February
Friday, March 1, 2024	Friday	March
Friday, March 8, 2024	Friday	March
Friday, March 15, 2024	Friday	March
Friday, March 22, 2024	Friday	March
Friday, March 29, 2024	Friday	March
Friday, April 5, 2024	Friday	April
Friday, April 12, 2024	Friday	April
Friday, April 19, 2024	Friday	April
Friday, April 26, 2024	Friday	April
Friday, May 3, 2024	Friday	May
Friday, May 10, 2024	Friday	May
Friday, May 17, 2024	Friday	May
Friday, May 24, 2024	Friday	May
Friday, May 31, 2024	Friday	May
Friday, June 7, 2024	Friday	June
Friday, June 14, 2024	Friday	June
Friday, June 21, 2024	Friday	June
Friday, June 28, 2024	Friday	June
Friday, July 5, 2024	Friday	July
Friday, July 12, 2024	Friday	July
Friday, July 19, 2024	Friday	July
Friday, July 26, 2024	Friday	July
Friday, August 2, 2024	Friday	August
Friday, August 9, 2024	Friday	August
Friday, August 16, 2024	Friday	August
Friday, August 23, 2024	Friday	August
Friday, August 30, 2024	Friday	August
Friday, September 6, 2024	Friday	September
Friday, September 13, 2024	Friday	September
Friday, September 20, 2024	Friday	September
Friday, September 27, 2024	Friday	September
Friday, October 4, 2024	Friday	October
Friday, October 11, 2024	Friday	October
Friday, October 18, 2024	Friday	October
Friday, October 25, 2024	Friday	October
Friday, November 1, 2024	Friday	November
Friday, November 8, 2024	Friday	November
Friday, November 15, 2024	Friday	November
Friday, November 22, 2024	Friday	November
Friday, November 29, 2024	Friday	November
Friday, December 6, 2024	Friday	December
Friday, December 13, 2024	Friday	December
Friday, December 20, 2024	Friday	December
Friday, December 27, 2024	Friday	December
Saturday, January 2, 2021	Saturday	January
Saturday, January 9, 2021	Saturday	January
Saturday, January 16, 2021	Saturday	January
Saturday, January 23, 2021	Saturday	January
Saturday, January 30, 2021	Saturday	January
Saturday, February 6, 2021	Saturday	February
Saturday, February 13, 2021	Saturday	February
Saturday, February 20, 2021	Saturday	February
Saturday, February 27, 2021	Saturday	February
Saturday, March 6, 2021	Saturday	March
Saturday, March 13, 2021	Saturday	March
Saturday, March 20, 2021	Saturday	March
Saturday, March 27, 2021	Saturday	March
Saturday, April 3, 2021	Saturday	April
Saturday, April 10, 2021	Saturday	April
Saturday, April 17, 2021	Saturday	April
Saturday, April 24, 2021	Saturday	April
Saturday, May 1, 2021	Saturday	May
Saturday, May 8, 2021	Saturday	May
Saturday, May 15, 2021	Saturday	May
Saturday, May 22, 2021	Saturday	May
Saturday, May 29, 2021	Saturday	May
Saturday, June 5, 2021	Saturday	June
Saturday, June 12, 2021	Saturday	June
Saturday, June 19, 2021	Saturday	June
Saturday, June 26, 2021	Saturday	June
Saturday, July 3, 2021	Saturday	July
Saturday, July 10, 2021	Saturday	July
Saturday, July 17, 2021	Saturday	July
Saturday, July 24, 2021	Saturday	July
Saturday, July 31, 2021	Saturday	July
Saturday, August 7, 2021	Saturday	August
Saturday, August 14, 2021	Saturday	August
Saturday, August 21, 2021	Saturday	August
Saturday, August 28, 2021	Saturday	August
Saturday, September 4, 2021	Saturday	September
Saturday, September 11, 2021	Saturday	September
Saturday, September 18, 2021	Saturday	September
Saturday, September 25, 2021	Saturday	September
Saturday, October 2, 2021	Saturday	October
Saturday, October 9, 2021	Saturday	October
Saturday, October 16, 2021	Saturday	October
Saturday, October 23, 2021	Saturday	October
Saturday, October 30, 2021	Saturday	October
Saturday, November 6, 2021	Saturday	November
Saturday, November 13, 2021	Saturday	November
Saturday, November 20, 2021	Saturday	November
Saturday, November 27, 2021	Saturday	November
Saturday, December 4, 2021	Saturday	December
Saturday, December 11, 2021	Saturday	December
Saturday, December 18, 2021	Saturday	December
Saturday, December 25, 2021	Saturday	December
Saturday, January 1, 2022	Saturday	January
Saturday, January 8, 2022	Saturday	January
Saturday, January 15, 2022	Saturday	January
Saturday, January 22, 2022	Saturday	January
Saturday, January 29, 2022	Saturday	January
